time_sec,speed_mph,distance_m,acceleration_mps2
138,39.55916465,238.1627801,-0.223289506
139,39.15957713,239.931233,-0.133973704
140,38.95978337,241.6818227,-0.089315802
141,38.75998961,243.4234809,-0.133973704
142,38.36040209,245.1562074,-0.178631605
143,37.96081457,246.8710708,-0.178631607
144,37.56122704,248.5680711,-0.178631607
145,37.16163952,250.2472082,-0.178631605
146,36.762052,251.9084821,-0.178631605
147,36.36246448,253.5518929,-0.178631605
148,35.96287696,255.1774405,-0.178631607
149,35.56328943,256.785125,-0.178631607
150,35.16370191,258.3749463,-0.133973704
151,34.96390815,259.9469044,-0.044657901
152,34.96390815,261.5099309,0
153,34.96390815,263.0729575,0
154,34.96390815,264.635984,0
155,34.96390815,266.1990106,0.044657901
156,35.16370191,267.7620371,0.089315802
157,35.36349567,269.3339953,0.089315802
158,35.56328943,270.914885,0.089315805
159,35.7630832,272.5047063,0.089315805
160,35.96287696,274.1034591,0
161,35.7630832,275.7111436,-0.089315805
162,35.56328943,277.3098965,-0.044657903
163,35.56328943,278.8997177,0
164,35.56328943,280.489539,0
165,35.56328943,282.0793603,0.044657903
166,35.7630832,283.6691816,0.089315805
167,35.96287696,285.2679345,0.044657901
168,35.96287696,286.8756189,0
169,35.96287696,288.4833034,0
170,35.96287696,290.0909878,0.044657901
171,36.16267072,291.6986723,0.089315802
172,36.36246448,293.3152883,0.089315802
173,36.56225824,294.9408359,0.089315802
174,36.762052,296.5753151,0.089315802
175,36.96184576,298.2187259,0.044657901
176,36.96184576,299.8710683,0
177,36.96184576,301.5234106,0.044657901
178,37.16163952,303.175753,0.089315802
179,37.36143328,304.8370269,0.089315802
180,37.56122704,306.5072324,0.089315802
181,37.7610208,308.1863695,0.089315805
182,37.96081457,309.8744382,0.089315805
183,38.16060833,311.5714384,0.089315802
184,38.36040209,313.2773703,0.089315802
185,38.56019585,314.9922337,0.089315802
186,38.75998961,316.7160287,0.089315802
187,38.95978337,318.4487553,0.089315802
188,39.15957713,320.1904134,0.133973704
189,39.55916465,321.9410031,0.178631605
190,39.95875217,323.709456,0.223289508
191,40.55813346,325.4957721,0.26794741
192,41.15751474,327.3088829,0.178631605
193,41.3573085,329.1487884,0.044657901
194,41.3573085,330.9976256,0
195,41.3573085,332.8464627,-0.044657901
196,41.15751474,334.6952998,-0.089315802
197,40.95772098,336.5352053,0
198,41.15751474,338.3661793,0.089315802
199,41.3573085,340.2060848,0.089315802
200,41.55710226,342.054922,0.089315802
201,41.75689602,343.9126907,0.133973704
202,42.15648354,345.7793909,0.133973704
203,42.3562773,347.6639544,0.089315805
204,42.55607107,349.5574494,0.089315805
205,42.75586483,351.459876,0.089315802
206,42.95565859,353.3712342,0.044657901
207,42.95565859,355.2915239,0.044657901
208,43.15545235,357.2118137,0.089315802
209,43.35524611,359.141035,0.044657901
210,43.35524611,361.079188,0
211,43.35524611,363.0173409,-0.044657901
212,43.15545235,364.9554938,-0.178631605
213,42.55607107,366.8847151,-0.312605311
214,41.75689602,368.7871417,-0.357263212
215,40.95772098,370.653842,-0.357263212
216,40.15854593,372.484816,-0.357263212
217,39.35937089,374.2800636,-0.312605309
218,38.75998961,376.0395849,-0.223289506
219,38.36040209,377.7723115,-0.133973704
220,38.16060833,379.4871749,-0.089315802
221,37.96081457,381.1931068,-0.044657901
222,37.96081457,382.890107,-0.044657903
223,37.7610208,384.5871073,-0.089315805
224,37.56122704,386.2751759,-0.089315802
225,37.36143328,387.954313,-0.089315802
226,37.16163952,389.6245186,-0.089315802
227,36.96184576,391.2857925,-0.044657901
228,36.96184576,392.9381348,0.044657901
229,37.16163952,394.5904772,0.089315802
230,37.36143328,396.2517511,0.089315802
231,37.56122704,397.9219566,0.089315802
232,37.7610208,399.6010937,0.089315805
233,37.96081457,401.2891624,0.044657903
234,37.96081457,402.9861627,0
235,37.96081457,404.6831629,0
236,37.96081457,406.3801632,0
237,37.96081457,408.0771634,0
238,37.96081457,409.7741637,-0.044657903
239,37.7610208,411.4711639,-0.044657903
240,37.7610208,413.1592326,0.044657903
241,37.96081457,414.8473013,0.133973706
242,38.36040209,416.5443015,0.178631605
243,38.75998961,418.259165,0.223289506
244,39.35937089,419.9918915,0.223289506
245,39.75895841,421.7514128,0.133973704
246,39.95875217,423.5287973,0.044657901
247,39.95875217,425.3151134,0
248,39.95875217,427.1014294,0
249,39.95875217,428.8877455,0
250,39.95875217,430.6740615,0.044657901
251,40.15854593,432.4603776,0.133973706
252,40.55813346,434.2556252,0.178631607
253,40.95772098,436.068736,0.178631605
254,41.3573085,437.89971,0.178631605
255,41.75689602,439.7485471,0.133973704
256,41.95668978,441.6152474,0.044657901
257,41.95668978,443.4908793,0
258,41.95668978,445.3665111,0
259,41.95668978,447.242143,0
260,41.95668978,449.1177748,0
261,41.95668978,450.9934067,0
262,41.95668978,452.8690386,0
263,41.95668978,454.7446704,0
264,41.95668978,456.6203023,-0.044657901
265,41.75689602,458.4959341,-0.089315802
266,41.55710226,460.3626344,-0.089315802
267,41.3573085,462.2204031,-0.089315802
268,41.15751474,464.0692402,-0.089315802
269,40.95772098,465.9091458,-0.044657901
270,40.95772098,467.7401197,-0.044657901
271,40.75792722,469.5710937,-0.089315802
272,40.55813346,471.3931361,-0.089315802
273,40.3583397,473.2062469,-0.089315805
274,40.15854593,475.0104261,-0.044657903
275,40.15854593,476.8056737,0.044657903
276,40.3583397,478.6009214,0.089315805
277,40.55813346,480.4051006,0.089315802
278,40.75792722,482.2182114,0.089315802
279,40.95772098,484.0402538,0
280,40.75792722,485.8712277,-0.133973704
281,40.3583397,487.6932701,-0.178631607
282,39.95875217,489.4974493,-0.178631607
283,39.55916465,491.2837654,-0.223289506
284,38.95978337,493.0522183,-0.223289506
285,38.56019585,494.7938764,-0.133973704
286,38.36040209,496.5176714,-0.089315802
287,38.16060833,498.2325348,-0.044657901
288,38.16060833,499.9384667,0.044657901
289,38.36040209,501.6443985,0.089315802
290,38.56019585,503.3592619,0.089315802
291,38.75998961,505.0830569,0.133973704
292,39.15957713,506.8157835,0.133973704
293,39.35937089,508.5663732,0.089315802
294,39.55916465,510.3258945,0.133973704
295,39.95875217,512.0943474,0.178631607
296,40.3583397,513.8806635,0.133973706
297,40.55813346,515.6848427,0.089315802
298,40.75792722,517.4979535,0.089315802
299,40.95772098,519.3199959,0.044657901
300,40.95772098,521.1509698,0
301,40.95772098,522.9819438,0
302,40.95772098,524.8129178,0
303,40.95772098,526.6438917,0
304,40.95772098,528.4748657,-0.044657901
305,40.75792722,530.3058396,-0.133973704
306,40.3583397,532.127882,-0.223289508
307,39.75895841,533.9320612,-0.26794741
308,39.15957713,535.7094457,-0.312605309
309,38.36040209,537.4600354,-0.312605311
310,37.7610208,539.1748989,-0.26794741
311,37.16163952,540.8629675,-0.267947407
312,36.56225824,542.5242415,-0.312605309
313,35.7630832,544.1587207,-0.357263212
314,34.96390815,545.7574735,-0.401921113
315,33.96493935,547.3205001,-0.401921113
316,33.1657643,548.8388687,-0.312605311
317,32.56638302,550.3215111,-0.223289506
318,32.1667955,551.7773586,-0.133973704
319,31.96700174,553.2153431,-0.044657901
320,31.96700174,554.6443959,0
321,31.96700174,556.0734488,0
322,31.96700174,557.5025016,-0.044657901
323,31.76720798,558.9315545,-0.089315802
324,31.56741422,560.3516757,-0.089315802
325,31.36762046,561.7628654,-0.089315802
326,31.1678267,563.1651235,-0.089315805
327,30.96803293,564.55845,-0.044657903
328,30.96803293,565.942845,-0.044657901
329,30.76823917,567.3272399,-0.133973704
330,30.36865165,568.7027033,-0.223289506
331,29.76927037,570.0603035,-0.35726321
332,28.77030157,571.391109,-0.491236916
333,27.571539,572.6772565,-0.491236916
334,26.5725702,573.9098146,-0.401921113
335,25.77339515,575.0977148,-0.312605311
336,25.17401387,576.2498886,-0.133973704
337,25.17401387,577.3752677,0.089315802
338,25.57360139,578.5006469,0.223289506
339,26.17298267,579.6438891,0.312605311
340,26.97215772,580.8139262,0.401921113
341,27.97112652,582.0196895,0.446579015
342,28.97009533,583.2701107,0.401921113
343,29.76927037,584.5651899,0.312605309
344,30.36865165,585.8959953,0.223289506
345,30.76823917,587.2535955,0.133973704
346,30.96803293,588.6290589,0.089315805
347,31.1678267,590.0134538,0.089315805
348,31.36762046,591.4067804,0.133973704
349,31.76720798,592.8090385,0.178631605
350,32.1667955,594.2291597,0.178631605
351,32.56638302,595.6671442,0.133973704
352,32.76617678,597.1229918,0.089315802
353,32.96597054,598.5877709,0.044657901
354,32.96597054,600.0614817,0
355,32.96597054,601.5351924,0
356,32.96597054,603.0089032,0
357,32.96597054,604.4826139,-0.044657901
358,32.76617678,605.9563247,-0.133973704
359,32.36658926,607.4211038,-0.178631605
360,31.96700174,608.8680198,-0.223289506
361,31.36762046,610.2970727,-0.312605311
362,30.56844541,611.6993308,-0.357263212
363,29.76927037,613.0658626,-0.35726321
364,28.97009533,614.396668,-0.401921113
365,27.97112652,615.6917472,-0.401921113
366,27.17195148,616.9421684,-0.312605309
367,26.5725702,618.1568633,-0.178631607
368,26.37277643,619.3447635,0
369,26.5725702,620.5237321,0.133973706
370,26.97215772,621.7116323,0.178631605
371,27.37174524,622.9173956,0.223289506
372,27.97112652,624.1410221,0.223289506
373,28.37071404,625.3914434,0.178631607
374,28.77030157,626.6597278,0.223289508
375,29.36968285,627.9458753,0.312605309
376,30.16885789,629.2588176,0.35726321
377,30.96803293,630.6074862,0.401921113
378,31.96700174,631.9918812,0.446579015
379,32.96597054,633.420934,0.446579015
380,33.96493935,634.8946448,0.401921113
381,34.76411439,636.4130134,0.312605309
382,35.36349567,637.9671084,0.223289508
383,35.7630832,639.5479981,0.178631607
384,36.16267072,641.146751,0.178631605
385,36.56225824,642.763367,0.223289506
386,37.16163952,644.3978462,0.267947407
387,37.7610208,646.0591201,0.312605311
388,38.56019585,647.7471888,0.312605311
389,39.15957713,649.4709838,0.267947407
390,39.75895841,651.2215735,0.26794741
391,40.3583397,652.998958,0.312605311
392,41.15751474,654.8031372,0.312605309
393,41.75689602,656.6430428,0.312605311
394,42.55607107,658.5097431,0.357263212
395,43.35524611,660.4121697,0.35726321
396,44.15442115,662.3503226,0.357263212
397,44.9535962,664.3242018,0.401921113
398,45.952565,666.3338074,0.446579012
399,46.9515338,668.3880709,0.446579015
400,47.95050261,670.4869922,0.446579015
401,48.94947141,672.6305715,0.446579015
402,49.94844022,674.8188087,0.446579015
403,50.94740902,677.0517037,0.446579015
404,51.94637783,679.3292567,0.446579015
405,52.94534663,681.6514676,0.446579012
406,53.94431543,684.0183364,0.446579015
407,54.94328424,686.429863,0.401921113
408,55.74245928,688.8860476,0.312605311
409,56.34184057,691.3779585,0.26794741
410,56.94122185,693.8966642,0.223289506
411,57.34080937,696.4421645,0.133973704
412,57.54060313,699.0055281,0.089315802
413,57.74039689,701.5778232,0.133973704
414,58.13998441,704.1590499,0.133973704
415,58.33977817,706.7581398,0.133973706
416,58.7393657,709.3661612,0.178631607
417,59.13895322,711.9920458,0.178631605
418,59.53854074,714.6357936,0.133973704
419,59.7383345,717.2974045,0.044657901
420,59.7383345,719.967947,-0.089315802
421,59.33874698,722.6384895,-0.223289506
422,58.7393657,725.2911689,-0.312605311
423,57.94019065,727.9170535,-0.401921113
424,56.94122185,730.5072117,-0.401921113
425,56.1420468,733.0527121,-0.357263212
426,55.34287176,735.5624862,-0.312605309
427,54.74349048,738.0365339,-0.267947407
428,54.1441092,740.4837869,-0.223289508
429,53.74452167,742.9042452,-0.178631607
430,53.34493415,745.3068403,-0.133973704
431,53.14514039,747.6915722,-0.089315802
432,52.94534663,750.0673726,-0.044657901
433,52.94534663,752.4342413,0.044657901
434,53.14514039,754.8011101,0.089315802
435,53.34493415,757.1769105,0.089315802
436,53.54472791,759.5616424,0.089315802
437,53.74452167,761.9553059,0.089315802
438,53.94431543,764.357901,0.044657901
439,53.94431543,766.7694277,0
440,53.94431543,769.1809544,0
441,53.94431543,771.5924811,0
442,53.94431543,774.0040077,0
443,53.94431543,776.4155344,0
444,53.94431543,778.8270611,0
445,53.94431543,781.2385878,0
446,53.94431543,783.6501144,0
447,53.94431543,786.0616411,0
448,53.94431543,788.4731678,0
449,53.94431543,790.8846945,0.044657903
450,54.1441092,793.2962212,0.089315805
451,54.34390296,795.7166794,0.089315802
452,54.54369672,798.1460692,0.044657901
453,54.54369672,800.5843907,0
454,54.54369672,803.0227121,-0.089315802
455,54.1441092,805.4610335,-0.178631607
456,53.74452167,807.8814918,-0.223289508
457,53.14514039,810.2840869,-0.267947407
458,52.54575911,812.6598872,-0.267947407
459,51.94637783,815.0088928,-0.26794741
460,51.34699654,817.3311037,-0.312605311
461,50.5478215,819.6265198,-0.312605309
462,49.94844022,821.8862096,-0.26794741
463,49.34905893,824.1191047,-0.26794741
464,48.74967765,826.3252051,-0.223289506
465,48.35009013,828.5045106,-0.133973704
466,48.15029637,830.6659531,-0.089315802
467,47.95050261,832.8184639,-0.044657901
468,47.95050261,834.9620432,0
469,47.95050261,837.1056225,-0.044657901
470,47.75070885,839.2492017,-0.089315802
471,47.55091509,841.3838494,-0.133973704
472,47.15132757,843.5095655,-0.223289508
473,46.55194628,845.6174185,-0.312605311
474,45.75277124,847.6984767,-0.35726321
475,44.9535962,849.7438086,-0.446579015
476,43.75483363,851.7534141,-0.580552721
477,42.3562773,853.7094302,-0.62521062
478,40.95772098,855.6029252,-0.62521062
479,39.55916465,857.4338992,-0.62521062
480,38.16060833,859.2023521,-0.580552718
481,36.96184576,860.9082839,-0.491236916
482,35.96287696,862.5606263,-0.491236916
483,34.76411439,864.1683107,-0.580552718
484,33.36555807,865.7224057,-0.62521062
485,31.96700174,867.2139796,-0.625210622
486,30.56844541,868.6430324,-0.580552718
487,29.36968285,870.0095642,-0.446579015
488,28.5705078,871.3225065,-0.223289508
489,28.37071404,872.5997225,-0.044657901
490,28.37071404,873.8680069,0.044657901
491,28.5705078,875.1362913,0.133973706
492,28.97009533,876.4135073,0.178631607
493,29.36968285,877.7085864,0.133973704
494,29.56947661,879.0215287,0.133973704
495,29.96906413,880.3434026,0.178631605
496,30.36865165,881.6831397,0.133973704
497,30.56844541,883.0407399,0.089315802
498,30.76823917,884.4072717,0.044657901
499,30.76823917,885.782735,-0.044657901
500,30.56844541,887.1581984,-0.089315802
501,30.36865165,888.5247302,-0.089315802
502,30.16885789,889.8823304,-0.089315802
503,29.96906413,891.230999,-0.044657901
504,29.96906413,892.570736,-0.044657901
505,29.76927037,893.9104731,-0.133973704
506,29.36968285,895.2412785,-0.223289506
507,28.77030157,896.5542208,-0.26794741
508,28.17092028,897.8403684,-0.26794741
509,27.571539,899.0997212,-0.178631605
510,27.37174524,900.3322793,0
511,27.571539,901.5559058,0.178631605
512,28.17092028,902.7884639,0.312605311
513,28.97009533,904.0478167,0.357263212
514,29.76927037,905.3428958,0.35726321
515,30.56844541,906.6737013,0.357263212
516,31.36762046,908.0402331,0.312605311
517,31.96700174,909.4424912,0.223289506
518,32.36658926,910.871544,0.178631605
519,32.76617678,912.31846,0.133973704
520,32.96597054,913.7832392,0.044657901
521,32.96597054,915.25695,0
522,32.96597054,916.7306607,0
523,32.96597054,918.2043715,0
524,32.96597054,919.6780822,0
525,32.96597054,921.1517929,0
526,32.96597054,922.6255037,0
527,32.96597054,924.0992144,0
528,32.96597054,925.5729252,0
529,32.96597054,927.0466359,0
530,32.96597054,928.5203467,0
531,32.96597054,929.9940574,0
532,32.96597054,931.4677682,0
533,32.96597054,932.9414789,0
534,32.96597054,934.4151897,0
535,32.96597054,935.8889004,0
536,32.96597054,937.3626112,0.044657901
537,33.1657643,938.8363219,0.089315805
538,33.36555807,940.3189642,0.089315805
539,33.56535183,941.8105381,0.044657901
540,33.56535183,943.3110436,0
541,33.56535183,944.8115491,-0.089315805
542,33.1657643,946.3120546,-0.223289508
543,32.56638302,947.7946969,-0.312605309
544,31.76720798,949.2505445,-0.312605309
545,31.1678267,950.6706658,-0.26794741
546,30.56844541,952.0639923,-0.223289508
547,30.16885789,953.4305241,-0.133973704
548,29.96906413,954.7791927,-0.044657901
549,29.96906413,956.1189298,0
550,29.96906413,957.4586668,0
551,29.96906413,958.7984038,0
552,29.96906413,960.1381409,-0.044657901
553,29.76927037,961.4778779,-0.133973704
554,29.36968285,962.8086834,-0.178631605
555,28.97009533,964.1216257,-0.223289508
556,28.37071404,965.4167048,-0.312605311
557,27.571539,966.6849892,-0.35726321
558,26.77236396,967.9175473,-0.357263212
559,25.97318891,969.1143791,-0.401921113
560,24.97422011,970.2754845,-0.401921111
561,24.17504507,971.3919321,-0.312605311
562,23.57566378,972.4726533,-0.178631607
563,23.37587002,973.5265797,0
564,23.57566378,974.5715746,0.133973704
565,23.9752513,975.6255011,0.178631607
566,24.37483883,976.6972907,0.178631607
567,24.77442635,977.7869435,0.133973704
568,24.97422011,978.8944595,0.044657901
569,24.97422011,980.010907,0
570,24.97422011,981.1273546,0
571,24.97422011,982.2438021,0
572,24.97422011,983.3602496,0
573,24.97422011,984.4766972,0.044657901
574,25.17401387,985.5931447,0.089315802
575,25.37380763,986.7185238,0.089315802
576,25.57360139,987.8528345,0.133973704
577,25.97318891,988.9960768,0.223289508
578,26.5725702,990.1571822,0.26794741
579,27.17195148,991.3450824,0.267947407
580,27.77133276,992.5597773,0.267947407
581,28.37071404,993.801267,0.223289508
582,28.77030157,995.0695514,0.178631607
583,29.16988909,996.355699,0.223289506
584,29.76927037,997.6597097,0.312605309
585,30.56844541,998.9905151,0.401921113
586,31.56741422,1000.357047,0.491236916
587,32.76617678,1001.768237,0.535894817
588,33.96493935,1003.233016,0.491236916
589,34.96390815,1004.751384,0.446579015
590,35.96287696,1006.314411,0.446579015
591,36.96184576,1007.922095,0.401921111
592,37.7610208,1009.574438,0.312605311
593,38.36040209,1011.262506,0.26794741
594,38.95978337,1012.97737,0.223289506
595,39.35937089,1014.719028,0.133973704
596,39.55916465,1016.478549,0.089315802
597,39.75895841,1018.247002,0.133973704
598,40.15854593,1020.024387,0.178631607
599,40.55813346,1021.819634,0.223289508
600,41.15751474,1023.632745,0.267947407
601,41.75689602,1025.472651,0.267947407
602,42.3562773,1027.339351,0.178631607
603,42.55607107,1029.232846,0.044657903
604,42.55607107,1031.135273,-0.044657903
605,42.3562773,1033.037699,-0.089315805
606,42.15648354,1034.931194,-0.089315802
607,41.95668978,1036.815758,-0.089315802
608,41.75689602,1038.69139,-0.089315802
609,41.55710226,1040.55809,-0.089315802
610,41.3573085,1042.415858,-0.133973704
611,40.95772098,1044.264696,-0.178631605
612,40.55813346,1046.09567,-0.133973704
613,40.3583397,1047.90878,-0.089315805
614,40.15854593,1049.71296,-0.133973706
615,39.75895841,1051.508207,-0.133973704
616,39.55916465,1053.285592,-0.089315802
617,39.35937089,1055.054045,-0.133973704
618,38.95978337,1056.813566,-0.178631605
619,38.56019585,1058.555224,-0.133973704
620,38.36040209,1060.279019,-0.133973704
621,37.96081457,1061.993882,-0.178631607
622,37.56122704,1063.690883,-0.133973706
623,37.36143328,1065.37002,-0.133973704
624,36.96184576,1067.040225,-0.223289506
625,36.36246448,1068.692568,-0.312605311
626,35.56328943,1070.318115,-0.491236916
627,34.16473311,1071.907937,-0.759184323
628,32.1667955,1073.435237,-0.982473832
629,29.76927037,1074.873221,-1.161105437
630,26.97215772,1076.204027,-1.339737044
631,23.77545754,1077.40979,-1.473710747
632,20.37896361,1078.472648,-1.518368649
633,16.98246967,1079.383669,-1.518368649
634,13.58597574,1080.142854,-1.473710745
635,10.38927557,1080.750201,-1.295079142
636,7.791956674,1081.214643,-1.027131734
637,5.794019065,1081.562975,-0.803842226
638,4.195668978,1081.821991,-0.62521062
639,2.996906413,1082.009554,-0.491236916
640,1.997937609,1082.143528,-0.401921113
641,1.198762565,1082.232843,-0.31260531
642,0.599381283,1082.286433,-0.223289507
643,0.199793761,1082.313228,-0.133973704
644,0,1082.322159,0
645,0.199793761,1082.322159,0.089315803
646,0.399587522,1082.331091,0.133973704
647,0.799175043,1082.348954,0.223289507
648,1.398556326,1082.38468,0.357263211
649,2.39752513,1082.447201,0.491236916
650,3.596287696,1082.55438,0.62521062
651,5.194637783,1082.715149,0.759184324
652,6.99278163,1082.94737,0.848500127
653,8.990719239,1083.259975,0.93781593
654,11.18845061,1083.661896,0.982473832
655,13.38618198,1084.162065,0.982473832
656,15.58391335,1084.760481,0.93781593
657,17.58185096,1085.457144,0.93781593
658,19.77958233,1086.243123,0.982473832
659,21.9773137,1087.127349,1.027131733
660,24.37483883,1088.109823,1.116447535
661,26.97215772,1089.199476,1.250421239
662,29.96906413,1090.405239,1.29507914
663,32.76617678,1091.744976,1.205763338
664,35.36349567,1093.209756,1.116447535
665,37.7610208,1094.790645,1.027131733
666,39.95875217,1096.478714,0.93781593
667,41.95668978,1098.26503,0.893158029
668,43.95462739,1100.140662,0.848500128
669,45.75277124,1102.10561,0.759184325
670,47.35112133,1104.150941,0.669868521
671,48.74967765,1106.267726,0.580552718
672,49.94844022,1108.447032,0.491236916
673,50.94740902,1110.679927,0.401921113
674,51.74658407,1112.95748,0.357263212
675,52.54575911,1115.270759,0.312605309
676,53.14514039,1117.619764,0.267947407
677,53.74452167,1119.995565,0.26794741
678,54.34390296,1122.39816,0.357263212
679,55.34287176,1124.82755,0.446579015
680,56.34184057,1127.301598,0.491236916
681,57.54060313,1129.820303,0.491236914
682,58.53957193,1132.392598,0.401921113
683,59.33874698,1135.009551,0.26794741
684,59.7383345,1137.662231,0.133973704
685,59.93812826,1140.332773,0.044657901
686,59.93812826,1143.012247,0
687,59.93812826,1145.691721,0
688,59.93812826,1148.371195,0
689,59.93812826,1151.05067,0
690,59.93812826,1153.730144,0
691,59.93812826,1156.409618,0
692,59.93812826,1159.089092,0
693,59.93812826,1161.768566,0
694,59.93812826,1164.44804,0
695,59.93812826,1167.127514,0
696,59.93812826,1169.806988,0.044657901
697,60.13792202,1172.486462,0.089315802
698,60.33771578,1175.174868,0.089315802
699,60.53750954,1177.872205,0.089315802
700,60.7373033,1180.578474,0.089315805
701,60.93709707,1183.293674,0.044657903
702,60.93709707,1186.017806,0
703,60.93709707,1188.741938,0
704,60.93709707,1191.46607,0
705,60.93709707,1194.190202,0
706,60.93709707,1196.914334,0
